"N₂O
 (Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3. Agropecuária, 279.30 , 284.96 , 293.53 , 297.11 , 306.62 , 311.96 , 296.56 , 306.82 , 314.99 , 318.63 , 332.56 , 344.97 , 360.07 , 395.48 , 405.71 , 408.30 , 412.94 , 425.66 , 431.33 , 437.97 , 457.60 , 472.42 , 470.26 , 485.66 , 494.53 , 494.66 , 510.46 
3.A.   Fermentação Entérica, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.     Bovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.a.       Bovinos de corte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.b.       Bovinos de leite, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.2.     Ovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.3.     Suínos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.4.     Outros animais, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.D.2.a.ii.          Adubos orgânicos, 1.51 , 1.56 , 1.64 , 1.64 , 1.67 , 1.80 , 1.66 , 1.75 , 1.80 , 1.85 , 1.93 , 1.87 , 1.93 , 2.04 , 2.21 , 2.32 , 2.37 , 2.57 , 2.78 , 3.01 , 3.03 , 3.14 , 2.98 , 3.03 , 3.20 , 3.21 , 3.20 
3.D.2.a.iii.           Deposição de dejetos diretamente no solo, 18.47 , 19.04 , 19.30 , 19.27 , 19.54 , 19.89 , 18.55 , 18.90 , 19.19 , 19.37 , 19.97 , 20.79 , 21.75 , 22.77 , 23.70 , 24.00 , 23.92 , 23.30 , 23.62 , 24.09 , 24.78 , 24.94 , 24.70 , 24.67 , 24.81 , 25.06 , 25.31 
3.D.2.a.iii.1.             Bovinos, 16.16 , 16.71 , 16.96 , 17.04 , 17.27 , 17.59 , 16.76 , 17.09 , 17.37 , 17.53 , 18.08 , 18.90 , 19.88 , 20.89 , 21.80 , 22.06 , 21.99 , 21.43 , 21.76 , 22.25 , 22.91 , 23.07 , 22.91 , 22.87 , 22.99 , 23.19 , 23.43 
3.D.2.a.iii.1.a.               Bovinos de corte, 11.68 , 12.03 , 12.17 , 12.34 , 12.59 , 12.79 , 12.96 , 13.10 , 13.33 , 13.46 , 13.90 , 14.64 , 15.47 , 16.37 , 17.09 , 17.21 , 17.06 , 16.47 , 16.70 , 16.99 , 17.54 , 17.63 , 17.59 , 17.53 , 17.63 , 18.29 , 18.87 
3.D.2.a.iii.1.b.               Bovino de leite, 4.48 , 4.68 , 4.80 , 4.70 , 4.68 , 4.81 , 3.81 , 3.99 , 4.04 , 4.07 , 4.18 , 4.26 , 4.41 , 4.52 , 4.71 , 4.85 , 4.92 , 4.96 , 5.06 , 5.26 , 5.37 , 5.43 , 5.32 , 5.34 , 5.37 , 4.90 , 4.56 
3.D.2.a.iii.2.             Suínos , 0.29 , 0.30 , 0.29 , 0.28 , 0.28 , 0.28 , 0.20 , 0.20 , 0.20 , 0.20 , 0.20 , 0.21 , 0.20 , 0.19 , 0.20 , 0.20 , 0.19 , 0.19 , 0.18 , 0.18 , 0.18 , 0.18 , 0.16 , 0.16 , 0.16 , 0.16 , 0.15 
3.D.2.a.iii.3.             Outros animais, 2.01 , 2.04 , 2.05 , 1.96 , 1.99 , 2.02 , 1.58 , 1.61 , 1.62 , 1.64 , 1.68 , 1.68 , 1.67 , 1.69 , 1.71 , 1.74 , 1.74 , 1.68 , 1.68 , 1.66 , 1.68 , 1.70 , 1.63 , 1.64 , 1.66 , 1.71 , 1.72 
3.D.2.b.       Lixiviação / escorrimento superficial, 36.37 , 36.98 , 38.29 , 38.82 , 40.20 , 40.88 , 39.03 , 40.57 , 41.74 , 42.26 , 44.31 , 45.97 , 47.99 , 53.45 , 54.62 , 54.78 , 55.54 , 57.78 , 58.67 , 59.52 , 62.49 , 64.62 , 64.40 , 67.03 , 68.41 , 68.68 , 70.92 
3.D.2.b.i.         Fertilizantes sintéticos, 2.76 , 2.76 , 3.06 , 3.59 , 4.16 , 4.01 , 4.23 , 4.60 , 5.15 , 4.93 , 5.90 , 5.80 , 6.42 , 7.86 , 7.94 , 7.78 , 8.12 , 9.75 , 8.85 , 9.04 , 10.09 , 11.90 , 12.26 , 13.08 , 13.69 , 12.49 , 15.44 
3.D.2.b.ii.          Adubos orgânicos, 1.91 , 1.96 , 2.07 , 2.05 , 2.07 , 2.25 , 2.09 , 2.23 , 2.29 , 2.33 , 2.40 , 2.29 , 2.37 , 2.52 , 2.74 , 2.88 , 2.94 , 3.20 , 3.52 , 3.88 , 3.86 , 4.02 , 3.75 , 3.82 , 4.08 , 4.11 , 4.14 
