"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.1.d.v.         Feijão, 286 , 351 , 358 , 317 , 431 , 377 , 314 , 363 , 280 , 362 , 391 , 314 , 392 , 422 , 379 , 386 , 442 , 405 , 443 , 446 , 404 , 440 , 358 , 370 , 422 , 395 , 335 
3.D.1.d.vi.          Mandioca, 306 , 308 , 275 , 275 , 307 , 320 , 223 , 250 , 245 , 262 , 290 , 284 , 291 , 276 , 301 , 325 , 335 , 334 , 336 , 307 , 314 , 319 , 290 , 270 , 292 , 290 , 265 
3.D.1.d.vii.           Trigo, 144 , 136 , 130 , 102 , 98 , 71 , 153 , 116 , 106 , 115 , 80 , 157 , 144 , 286 , 271 , 217 , 116 , 191 , 280 , 235 , 287 , 265 , 206 , 267 , 291 , 256 , 318 
3.D.1.d.viii.            Pastagens," 8,944 "," 8,944 "," 8,944 "," 8,944 "," 8,944 "," 9,007 "," 9,208 "," 9,410 "," 9,611 "," 9,812 "," 10,014 "," 10,215 "," 10,417 "," 11,561 "," 11,596 "," 11,631 "," 11,607 "," 11,612 "," 11,616 "," 11,620 "," 11,625 "," 10,683 "," 10,683 "," 10,683 "," 10,683 "," 10,683 "," 10,683 "
3.D.1.d.ix.          Outras culturas temporárias, 331 , 340 , 335 , 276 , 299 , 280 , 272 , 327 , 304 , 347 , 404 , 457 , 436 , 512 , 624 , 654 , 576 , 597 , 636 , 563 , 562 , 675 , 620 , 593 , 640 , 632 , 604 
3.D.1.e.       Mineralização de N associada a perda de C do solo, 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 , 900 ," 1,551 "," 1,551 "," 1,551 "," 1,551 "," 1,551 "," 1,551 "," 1,551 "," 1,551 "," 1,295 "," 1,295 "," 1,295 "," 1,295 "," 1,295 "," 1,295 "
3.D.1.f.       Manejo de solos orgânicos," 1,679 "," 1,690 "," 1,700 "," 1,711 "," 1,696 "," 1,734 "," 1,746 "," 1,758 "," 1,770 "," 1,781 "," 1,793 "," 1,805 "," 1,870 "," 1,829 "," 1,840 "," 1,852 "," 1,864 "," 1,876 "," 1,888 "," 1,900 "," 1,885 "," 1,923 "," 1,935 "," 1,947 "," 1,959 "," 1,971 "," 1,984 "
3.D.2.     Emissões indiretas," 18,228 "," 18,620 "," 19,187 "," 19,581 "," 20,201 "," 20,499 "," 19,551 "," 20,289 "," 20,939 "," 21,150 "," 22,055 "," 22,848 "," 23,902 "," 26,427 "," 27,125 "," 27,334 "," 27,616 "," 28,623 "," 28,849 "," 29,350 "," 30,821 "," 32,073 "," 31,880 "," 33,055 "," 33,814 "," 33,528 "," 35,274 "
3.D.2.a.       Deposição atmosferica," 6,952 "," 7,158 "," 7,318 "," 7,545 "," 7,738 "," 7,828 "," 7,453 "," 7,713 "," 7,999 "," 8,048 "," 8,319 "," 8,596 "," 9,027 "," 9,857 "," 10,192 "," 10,354 "," 10,399 "," 10,712 "," 10,662 "," 10,900 "," 11,449 "," 12,041 "," 11,915 "," 12,278 "," 12,607 "," 12,237 "," 13,289 "
3.D.2.a.i.         Fertilizantes sintéticos, 757 , 772 , 825 ," 1,063 "," 1,164 "," 1,103 "," 1,188 "," 1,311 "," 1,493 "," 1,468 "," 1,531 "," 1,571 "," 1,687 "," 2,164 "," 2,160 "," 2,195 "," 2,251 "," 2,694 "," 2,478 "," 2,497 "," 2,829 "," 3,335 "," 3,335 "," 3,690 "," 3,924 "," 3,474 "," 4,452 "
3.D.2.a.ii.          Adubos orgânicos, 469 , 483 , 510 , 509 , 517 , 559 , 514 , 544 , 558 , 574 , 597 , 580 , 598 , 633 , 684 , 718 , 733 , 796 , 862 , 934 , 939 , 975 , 922 , 939 , 992 , 994 , 993 
3.D.2.a.iii.           Deposição de dejetos diretamente no solo," 5,726 "," 5,902 "," 5,984 "," 5,974 "," 6,057 "," 6,166 "," 5,750 "," 5,859 "," 5,948 "," 6,005 "," 6,191 "," 6,445 "," 6,742 "," 7,060 "," 7,348 "," 7,440 "," 7,415 "," 7,222 "," 7,322 "," 7,468 "," 7,681 "," 7,732 "," 7,658 "," 7,648 "," 7,692 "," 7,770 "," 7,845 "
3.D.2.a.iii.1.             Bovinos," 5,011 "," 5,179 "," 5,259 "," 5,281 "," 5,354 "," 5,454 "," 5,196 "," 5,299 "," 5,386 "," 5,433 "," 5,606 "," 5,859 "," 6,162 "," 6,477 "," 6,757 "," 6,840 "," 6,816 "," 6,642 "," 6,746 "," 6,898 "," 7,103 "," 7,150 "," 7,103 "," 7,091 "," 7,128 "," 7,190 "," 7,263 "
3.D.2.a.iii.1.a.               Bovinos de corte," 3,621 "," 3,730 "," 3,772 "," 3,825 "," 3,902 "," 3,964 "," 4,016 "," 4,062 "," 4,133 "," 4,172 "," 4,309 "," 4,539 "," 4,794 "," 5,075 "," 5,298 "," 5,335 "," 5,289 "," 5,105 "," 5,177 "," 5,268 "," 5,438 "," 5,466 "," 5,454 "," 5,435 "," 5,464 "," 5,671 "," 5,850 "
3.D.2.a.iii.1.b.               Bovino de leite," 1,390 "," 1,449 "," 1,487 "," 1,457 "," 1,452 "," 1,490 "," 1,180 "," 1,236 "," 1,252 "," 1,261 "," 1,297 "," 1,319 "," 1,367 "," 1,402 "," 1,459 "," 1,505 "," 1,526 "," 1,537 "," 1,569 "," 1,631 "," 1,664 "," 1,684 "," 1,649 "," 1,656 "," 1,664 "," 1,520 "," 1,413 "
3.D.2.a.iii.2.             Suínos , 91 , 92 , 90 , 86 , 86 , 86 , 63 , 62 , 61 , 63 , 63 , 64 , 63 , 59 , 61 , 62 , 60 , 58 , 56 , 56 , 57 , 55 , 51 , 48 , 49 , 49 , 48 
3.D.2.a.iii.3.             Outros animais, 623 , 632 , 634 , 607 , 617 , 625 , 491 , 498 , 501 , 509 , 521 , 522 , 517 , 524 , 530 , 538 , 539 , 522 , 520 , 514 , 521 , 527 , 504 , 508 , 514 , 530 , 534 
