"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.2.a.iii.1.b.               Bovino de leite," 1,049 "," 1,094 "," 1,122 "," 1,099 "," 1,096 "," 1,125 ", 891 , 933 , 945 , 952 , 979 , 996 ," 1,032 "," 1,058 "," 1,101 "," 1,136 "," 1,152 "," 1,160 "," 1,184 "," 1,231 "," 1,256 "," 1,271 "," 1,245 "," 1,250 "," 1,256 "," 1,147 "," 1,066 "
3.D.2.a.iii.2.             Suínos , 69 , 69 , 68 , 65 , 65 , 65 , 48 , 47 , 46 , 47 , 48 , 49 , 48 , 45 , 46 , 47 , 46 , 43 , 42 , 43 , 43 , 41 , 38 , 36 , 37 , 37 , 36 
3.D.2.a.iii.3.             Outros animais, 470 , 477 , 479 , 458 , 466 , 472 , 370 , 376 , 378 , 384 , 394 , 394 , 390 , 395 , 400 , 406 , 407 , 394 , 392 , 388 , 393 , 397 , 380 , 384 , 388 , 400 , 403 
3.D.2.b.       Lixiviação / escorrimento superficial," 8,512 "," 8,652 "," 8,959 "," 9,085 "," 9,407 "," 9,565 "," 9,133 "," 9,493 "," 9,768 "," 9,890 "," 10,369 "," 10,758 "," 11,229 "," 12,508 "," 12,781 "," 12,817 "," 12,996 "," 13,520 "," 13,729 "," 13,927 "," 14,623 "," 15,120 "," 15,070 "," 15,684 "," 16,008 "," 16,071 "," 16,595 "
3.D.2.b.i.         Fertilizantes sintéticos, 645 , 647 , 716 , 840 , 974 , 939 , 991 ," 1,077 "," 1,204 "," 1,153 "," 1,380 "," 1,357 "," 1,502 "," 1,839 "," 1,857 "," 1,821 "," 1,900 "," 2,281 "," 2,070 "," 2,115 "," 2,362 "," 2,785 "," 2,869 "," 3,060 "," 3,204 "," 2,923 "," 3,613 "
3.D.2.b.ii.          Adubos orgânicos, 448 , 458 , 485 , 480 , 486 , 528 , 489 , 521 , 537 , 545 , 561 , 536 , 555 , 590 , 642 , 673 , 688 , 749 , 825 , 907 , 904 , 940 , 877 , 893 , 955 , 961 , 968 
3.D.2.b.iii.           Deposição de dejetos diretamente no solo," 4,862 "," 5,012 "," 5,081 "," 5,073 "," 5,144 "," 5,236 "," 4,883 "," 4,975 "," 5,051 "," 5,100 "," 5,257 "," 5,473 "," 5,725 "," 5,995 "," 6,239 "," 6,318 "," 6,297 "," 6,133 "," 6,218 "," 6,342 "," 6,522 "," 6,566 "," 6,503 "," 6,494 "," 6,532 "," 6,598 "," 6,662 "
3.D.2.b.iii.1.             Bovinos," 4,255 "," 4,398 "," 4,466 "," 4,485 "," 4,547 "," 4,632 "," 4,413 "," 4,500 "," 4,573 "," 4,614 "," 4,761 "," 4,975 "," 5,232 "," 5,500 "," 5,738 "," 5,808 "," 5,788 "," 5,641 "," 5,728 "," 5,858 "," 6,032 "," 6,072 "," 6,032 "," 6,022 "," 6,053 "," 6,106 "," 6,168 "
3.D.2.b.iii.2.             Suínos , 78 , 78 , 77 , 73 , 73 , 73 , 54 , 53 , 52 , 53 , 54 , 55 , 53 , 50 , 51 , 53 , 51 , 49 , 48 , 48 , 48 , 47 , 43 , 41 , 42 , 42 , 41 
3.D.2.b.iii.3.             Outros animais, 529 , 536 , 539 , 515 , 524 , 531 , 417 , 423 , 426 , 432 , 443 , 443 , 439 , 445 , 450 , 457 , 458 , 443 , 441 , 436 , 442 , 447 , 428 , 432 , 437 , 450 , 453 
3.D.2.b.iv.          Resíduos agrícolas," 2,404 "," 2,383 "," 2,524 "," 2,539 "," 2,651 "," 2,710 "," 2,617 "," 2,766 "," 2,822 "," 2,940 "," 3,018 "," 3,239 "," 3,293 "," 3,820 "," 3,779 "," 3,741 "," 3,847 "," 4,094 "," 4,352 "," 4,300 "," 4,572 "," 4,609 "," 4,601 "," 5,016 "," 5,097 "," 5,369 "," 5,134 "
3.D.2.b.iv.1.            Soja, 301 , 226 , 291 , 342 , 378 , 389 , 351 , 400 , 474 , 470 , 497 , 574 , 638 , 787 , 751 , 776 , 795 , 877 , 907 , 869 ," 1,042 "," 1,134 ", 998 ," 1,239 "," 1,315 "," 1,477 "," 1,461 "
3.D.2.b.iv.2.            Milho, 227 , 251 , 325 , 320 , 346 , 386 , 316 , 351 , 315 , 343 , 344 , 447 , 383 , 514 , 445 , 374 , 454 , 555 , 627 , 540 , 589 , 592 , 757 , 855 , 850 , 908 , 683 
3.D.2.b.iv.3.            Cana-de-açúcar, 108 , 107 , 112 , 101 , 121 , 125 , 145 , 162 , 172 , 170 , 177 , 185 , 194 , 207 , 221 , 230 , 274 , 331 , 450 , 540 , 599 , 658 , 678 , 747 , 728 , 791 , 822 
3.D.2.b.iv.4.            Arroz, 67 , 86 , 91 , 92 , 95 , 102 , 78 , 76 , 70 , 106 , 101 , 92 , 95 , 94 , 120 , 119 , 104 , 100 , 109 , 115 , 102 , 122 , 105 , 107 , 110 , 111 , 96 
3.D.2.b.iv.5.            Feijão, 49 , 60 , 61 , 54 , 73 , 64 , 53 , 62 , 48 , 61 , 66 , 53 , 67 , 72 , 64 , 66 , 75 , 69 , 75 , 76 , 69 , 75 , 61 , 63 , 72 , 67 , 57 
3.D.2.b.iv.6.            Mandioca, 52 , 52 , 47 , 47 , 52 , 54 , 38 , 42 , 42 , 45 , 49 , 48 , 49 , 47 , 51 , 55 , 57 , 57 , 57 , 52 , 53 , 54 , 49 , 46 , 50 , 49 , 45 
