Project ID,ARB ID,Project Developer,Project Name,Project VVB,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Project Notes,Total Number of Credits Registered ,Documents,Project Website,Unnamed: 16
ACR372,CAOD0059,EOS Climate Inc,EOS ACR 372,Ruby Canyon Environment,Ozone Depleting Substances,,Listed - Proposed Project,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.eosclimate.com,
ACR172,CAOD5004,EOS Climate Inc,EOS ARB ODS 2013-2,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,55996.0,View,www.eosclimate.com,
ACR178,,EOS Climate Inc,EOS ARB ODS 2013-4,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Inactive,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,www.eosclimate.com,
ACR181,CAOD5015,EOS Climate Inc,EOS ARB ODS 2013-6,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,51864.0,View,www.eosclimate.com,
ACR193,CAOD5035,EOS Climate Inc,EOS ARB ODS 2013-7,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,84418.0,View,www.eosclimate.com,
ACR195,CAOD5049,EOS Climate Inc,EOS ARB ODS 2014-1,NSF International Strategic Registrations (NSF-ISR),Ozone Depleting Substances,,ARB Completed,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,122080.0,View,www.eosclimate.com,
ACR310,,EOS Climate Inc,EOS HFC 310,SCS Global Services (Scientific Certification Systems),Industrial Process Emissions,Registered,Not ARB Eligible,Champaign,ILLINOIS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,8468.0,View,www.eosclimate.com,
ACR663,,Blue Source,Fielding Environmental HFC Reclamation Offset Project,,Industrial Process Emissions,Listed,Not ARB Eligible,Mississauga,ONTARIO,CA,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",,,View,,
ACR360,CAFR5360,"Ahtna, Incorporated",Finite Carbon - Ahtna Native Alaskan IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,"Glennallen, AK",ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,15771683.0,View,,
ACR571,,AMC Maine Woods Initiative LLC,Finite Carbon - AMC Maine Woods Initiative IFM,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Listed,Not ARB Eligible,"Piscataquis County, Maine",MAINE,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,https://www.finitecarbon.com/clients/land-trusts/,
ACR412,,"Cook Inlet Region, Inc.",Finite Carbon - CIRI Native Alaskan IFM,,Forest Carbon,,Listed - Proposed Project,Kenai Peninsula and Matanuska-Susitna Boroughs,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR255,,Confederated Tribes of the colville Reservation,Finite Carbon - Colville IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Nespelem,WASHINGTON,US,Clean Water and Sanitation;Climate Action;Life on Land,,14357787.0,View,,
ACR257,,"Conservancy Management, LLC.",Finite Carbon - Cook's Branch Conservancy IFM,"S&A Carbon, LLC",Forest Carbon,,Listed - Active ARB Project,Montgomery County,TEXAS,US,Clean Water and Sanitation;Climate Action;Life on Land,,218667.0,View,,
ACR396,,Finite Carbon Corporation,Finite Carbon - Cooper River IFM,,Forest Carbon,,Listed - Proposed Project,Wando,SOUTH CAROLINA,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR290,CAFR5240,The Lyme Timber Company,Finite Carbon - Emory River Improved Forest Management Project,,Forest Carbon,,Listed - Proposed Project,Wartburg,TENNESSEE,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR562,,Hiawatha Sportsman's Club,Finite Carbon - Hiawatha Sportsman's Club IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,Listed,Not ARB Eligible,"Mackinack County, MI",MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,https://www.finitecarbon.com/,
ACR428,CAFR5428,Huna Totem Corporation,Finite Carbon - Huna Totem Native Alaskan IFM,SCS Global Services (Scientific Certification Systems),Forest Carbon,,Listed - Active ARB Project,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,,1028121.0,View,,
ACR286,CAFR5236,"Timberlands, LLC",Finite Carbon - KRP Timberlands IFM,"S&A Carbon, LLC",Forest Carbon,,ARB Inactive,"Harlan, Leslie, Clay, Perry, Letcher, Knott, & Breathitt Counties",KENTUCKY,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR406,,Molpus Woodlands Group,Finite Carbon - Lake Superior Timberlands IFM,,Forest Carbon,,Listed - Proposed Project,Houghton and Keweenaw Counties,MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,,,View,,
ACR293,CAFR5243,Lakes Region Conservation Trust,Finite Carbon - Lakes Region Conservation Trust IFM,,Forest Carbon,,Listed - Active ARB Project,"Carrol, Belknap, Merrimack, & Grafton Counties",NEW HAMPSHIRE,US,Clean Water and Sanitation;Climate Action;Life on Land,,483873.0,View,,
